"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"02.01.2023 02:15 - 02.01.2023 02:30","n/e","n/e","n/e","7940","10181","10181"
"02.01.2023 02:30 - 02.01.2023 02:45","n/e","n/e","n/e","7815","9934","9934"
"02.01.2023 02:45 - 02.01.2023 03:00","n/e","n/e","n/e","7682","9686","9686"
"02.01.2023 03:00 - 02.01.2023 03:15","n/e","n/e","n/e","7571","9108","9108"
"02.01.2023 03:15 - 02.01.2023 03:30","n/e","n/e","n/e","7415","8898","8898"
"02.01.2023 03:30 - 02.01.2023 03:45","n/e","n/e","n/e","7245","8702","8702"
"02.01.2023 03:45 - 02.01.2023 04:00","n/e","n/e","n/e","7062","8516","8516"
"02.01.2023 04:00 - 02.01.2023 04:15","n/e","n/e","n/e","6891","7764","7764"
"02.01.2023 04:15 - 02.01.2023 04:30","n/e","n/e","n/e","6692","7591","7591"
"02.01.2023 04:30 - 02.01.2023 04:45","n/e","n/e","n/e","6489","7414","7414"
"02.01.2023 04:45 - 02.01.2023 05:00","n/e","n/e","n/e","6285","7225","7225"
"02.01.2023 05:00 - 02.01.2023 05:15","n/e","n/e","n/e","6094","6909","6909"
"02.01.2023 05:15 - 02.01.2023 05:30","n/e","n/e","n/e","5887","6705","6705"
"02.01.2023 05:30 - 02.01.2023 05:45","n/e","n/e","n/e","5680","6498","6498"
"02.01.2023 05:45 - 02.01.2023 06:00","n/e","n/e","n/e","5469","6276","6276"
"02.01.2023 06:00 - 02.01.2023 06:15","n/e","n/e","n/e","5293","5957","5957"
"02.01.2023 06:15 - 02.01.2023 06:30","n/e","n/e","n/e","5058","5708","5708"
"02.01.2023 06:30 - 02.01.2023 06:45","n/e","n/e","n/e","4807","5449","5449"
"02.01.2023 06:45 - 02.01.2023 07:00","n/e","n/e","n/e","4548","5182","5182"
"02.01.2023 07:00 - 02.01.2023 07:15","n/e","n/e","n/e","4286","4817","4817"
"02.01.2023 07:15 - 02.01.2023 07:30","n/e","n/e","n/e","4045","4599","4599"
"02.01.2023 07:30 - 02.01.2023 07:45","n/e","n/e","n/e","3825","4383","4383"
"02.01.2023 07:45 - 02.01.2023 08:00","n/e","n/e","n/e","3626","4168","4168"
"02.01.2023 08:00 - 02.01.2023 08:15","n/e","n/e","n/e","3438","4081","4081"
"02.01.2023 08:15 - 02.01.2023 08:30","n/e","n/e","n/e","3270","3903","3903"
"02.01.2023 08:30 - 02.01.2023 08:45","n/e","n/e","n/e","3112","3731","3731"
"02.01.2023 08:45 - 02.01.2023 09:00","n/e","n/e","n/e","2962","3562","3562"
"02.01.2023 09:00 - 02.01.2023 09:15","n/e","n/e","n/e","2827","3412","3600"
"02.01.2023 09:15 - 02.01.2023 09:30","n/e","n/e","n/e","2684","3241","3444"
"02.01.2023 09:30 - 02.01.2023 09:45","n/e","n/e","n/e","2543","3067","3284"
"02.01.2023 09:45 - 02.01.2023 10:00","n/e","n/e","n/e","2403","2893","3123"
"02.01.2023 10:00 - 02.01.2023 10:15","n/e","n/e","n/e","2270","2722","3139"
"02.01.2023 10:15 - 02.01.2023 10:30","n/e","n/e","n/e","2138","2560","2986"
"02.01.2023 10:30 - 02.01.2023 10:45","n/e","n/e","n/e","2012","2410","2837"
"02.01.2023 10:45 - 02.01.2023 11:00","n/e","n/e","n/e","1897","2275","2696"
"02.01.2023 11:00 - 02.01.2023 11:15","n/e","n/e","n/e","1767","2128","2310"
"02.01.2023 11:15 - 02.01.2023 11:30","n/e","n/e","n/e","1687","2033","2219"
"02.01.2023 11:30 - 02.01.2023 11:45","n/e","n/e","n/e","1629","1959","2142"
"02.01.2023 11:45 - 02.01.2023 12:00","n/e","n/e","n/e","1589","1904","2075"
"02.01.2023 12:00 - 02.01.2023 12:15","n/e","n/e","n/e","1549","1849","1902"
"02.01.2023 12:15 - 02.01.2023 12:30","n/e","n/e","n/e","1532","1819","1860"
"02.01.2023 12:30 - 02.01.2023 12:45","n/e","n/e","n/e","1520","1795","1823"
"02.01.2023 12:45 - 02.01.2023 13:00","n/e","n/e","n/e","1510","1775","1791"
"02.01.2023 13:00 - 02.01.2023 13:15","n/e","n/e","n/e","1505","1757","1709"
"02.01.2023 13:15 - 02.01.2023 13:30","n/e","n/e","n/e","1495","1742","1695"
"02.01.2023 13:30 - 02.01.2023 13:45","n/e","n/e","n/e","1482","1728","1684"
"02.01.2023 13:45 - 02.01.2023 14:00","n/e","n/e","n/e","1466","1713","1674"
"02.01.2023 14:00 - 02.01.2023 14:15","n/e","n/e","n/e","1455","1702","1662"
"02.01.2023 14:15 - 02.01.2023 14:30","n/e","n/e","n/e","1431","1683","1642"
"02.01.2023 14:30 - 02.01.2023 14:45","n/e","n/e","n/e","1404","1661","1620"
"02.01.2023 14:45 - 02.01.2023 15:00","n/e","n/e","n/e","1374","1636","1596"
"02.01.2023 15:00 - 02.01.2023 15:15","n/e","n/e","n/e","1339","1610","1532"
"02.01.2023 15:15 - 02.01.2023 15:30","n/e","n/e","n/e","1313","1584","1522"
"02.01.2023 15:30 - 02.01.2023 15:45","n/e","n/e","n/e","1291","1560","1514"
"02.01.2023 15:45 - 02.01.2023 16:00","n/e","n/e","n/e","1277","1540","1512"
"02.01.2023 16:00 - 02.01.2023 16:15","n/e","n/e","n/e","1250","1503","1371"
"02.01.2023 16:15 - 02.01.2023 16:30","n/e","n/e","n/e","1255","1504","1408"
"02.01.2023 16:30 - 02.01.2023 16:45","n/e","n/e","n/e","1273","1519","1457"
"02.01.2023 16:45 - 02.01.2023 17:00","n/e","n/e","n/e","1303","1549","1514"
"02.01.2023 17:00 - 02.01.2023 17:15","n/e","n/e","n/e","1324","1575","1601"
"02.01.2023 17:15 - 02.01.2023 17:30","n/e","n/e","n/e","1382","1627","1657"
"02.01.2023 17:30 - 02.01.2023 17:45","n/e","n/e","n/e","1454","1687","1717"
